2024-12-14T10:35:39.451Z: [32minfo[39m: GET /vehicle 200 102.075 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:39 GMT
2024-12-14T10:35:46.413Z: [32minfo[39m: OPTIONS /vehicle/675c85c7210d2403a32cb012 204 0.082 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:46 GMT
2024-12-14T10:35:46.520Z: [32minfo[39m: PUT /vehicle/675c85c7210d2403a32cb012 200 105.352 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:46 GMT
2024-12-14T10:35:46.524Z: [32minfo[39m: OPTIONS /vehicle 204 0.080 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:46 GMT
2024-12-14T10:35:46.630Z: [32minfo[39m: GET /vehicle 200 102.615 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:46 GMT
2024-12-14T10:35:51.028Z: [32minfo[39m: GET /vehicle 304 110.966 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:51 GMT
2024-12-14T10:35:51.131Z: [32minfo[39m: GET /vehicle 304 102.061 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:51 GMT
2024-12-14T10:35:57.824Z: [32minfo[39m: OPTIONS /auth/signin 204 0.069 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:57 GMT
2024-12-14T10:35:57.928Z: [31merror[39m: POST /auth/signin 401 101.996 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:57 GMT - error-message: Invalid email or password
2024-12-14T10:36:00.658Z: [32minfo[39m: OPTIONS /vehicle 204 0.101 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:00 GMT
2024-12-14T10:36:00.659Z: [32minfo[39m: OPTIONS /vehicle 204 0.170 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:00 GMT
2024-12-14T10:36:00.762Z: [32minfo[39m: GET /vehicle 304 101.485 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:00 GMT
2024-12-14T10:36:00.879Z: [32minfo[39m: GET /vehicle 304 115.088 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:00 GMT
2024-12-14T10:36:36.759Z: [32minfo[39m: OPTIONS /auth/signin 204 0.058 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:36 GMT
